                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1578,                0.64367,                0.95831,                0.96795,                0.95317,                0.99141,                0.65537,                 1.2682,                 0.7265,                0.94643,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1811,                0.63507,                0.95229,                0.97442,                0.96246,                 0.9924,                0.69697,                 1.1956,                0.68864,                0.93213,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.2043,                0.64793,                0.94424,                      1,                0.96147,                0.99278,                0.70596,                 1.1761,                0.65975,                0.92543,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1781,                0.63595,                   0.95,                      1,                0.96389,                0.99309,                 0.7027,                 1.1869,                0.64724,                0.92595,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1338,                0.62455,                 0.9393,                0.98314,                0.94126,                0.98697,                0.68115,                 1.1927,                0.63476,                0.92389,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1854,                0.61707,                0.92969,                0.98219,                0.93321,                0.98378,                0.68056,                 1.1755,                0.62294,                0.92133,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1951,                0.83041,                0.98813,                0.98627,                0.95986,                0.98664,                0.67766,                 1.1981,                0.63773,                0.92585,             0.00037974,             0.00037974,             0.00037974
                     42,                  1.175,                0.74833,                0.97209,                0.97925,                 0.9643,                0.98686,                0.66343,                  1.252,                0.70156,                0.93736,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1632,                 0.7578,                0.94006,                0.97932,                0.97211,                 0.9848,                0.65514,                 1.2642,                 0.7612,                0.93394,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.1344,                0.70862,                0.94174,                0.97002,                0.96037,                0.97381,                0.67518,                 1.2222,                 0.7756,                0.92042,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.1044,                0.70565,                0.95729,                0.96695,                0.93478,                0.96603,                0.67832,                 1.2063,                 0.7395,                0.91888,             0.00024772,             0.00024772,             0.00024772
                     46,                  1.147,                0.66617,                0.95217,                0.96593,                 0.9473,                0.96635,                0.68471,                 1.2078,                0.68122,                0.92039,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.1572,                0.66176,                0.93729,                0.98288,                0.97541,                 0.9839,                 0.6846,                 1.1992,                0.62957,                0.92018,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.1374,                0.63033,                0.94905,                0.98462,                0.97589,                0.98448,                 0.6879,                 1.1811,                0.60094,                0.91762,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.1329,                0.61897,                0.95405,                0.98362,                0.97431,                0.98474,                0.69653,                 1.1741,                0.58746,                0.91581,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.1329,                0.61806,                0.95008,                 0.9822,                0.97659,                0.98479,                 0.7003,                 1.1666,                0.58023,                 0.9149,             8.2683e-05,             8.2683e-05,             8.2683e-05
